-0,0,0
-0,0,0
-0,0,0
-0,-0,-0
-0,-17.9370288421766,-17.9389597675504
-0,-35.8231510294882,-35.8779195351008
-0,-53.622517327133,-53.8168793026511
-0,-71.3044388915967,-71.7558390702015
-0,-88.8519274466037,-89.6947988377519
-0,-106.264049626151,-107.633758605302
-0,-123.551772416736,-125.572718372853
-0,-140.730647034169,-143.511678140403
-0,-157.814269634735,-161.450637907953
-0,-174.811126743986,-179.389597675504
-0,-191.724297541885,-197.328557443054
-0,-208.584448708495,-215.267517210605
-0,-225.34969185408,-233.206476978155
-0,-242.020011354138,-251.145436745705
-0,-242.020032179938,-251.145436745705
-0,-242.020055700056,-251.145436745705
-0,-242.020082041138,-251.145436745705
-0,-242.020111135513,-251.145436745705
-0,-242.020142854032,-251.145436745705
-0,-242.020177490512,-251.145436745705
-0,-242.020214729202,-251.145436745705
-0,-242.020254902467,-251.145436745705
-0,-242.020297845433,-251.145436745705
-0,-242.020343423365,-251.145436745705
-0,-242.020391926447,-251.145436745705
-0,-242.020443163341,-251.145436745705
-0,-242.020497075593,-251.145436745705
-0,-242.020553876695,-251.145436745705
-0,-242.020613311891,-251.145436745705
-0,-242.020675636714,-251.145436745705
-0,-242.020740613555,-251.145436745705
-0,-242.02080835319,-251.145436745705
-0,-242.020879012304,-251.145436745705
-0,-242.020952267601,-251.145436745705
-0,-242.021028485586,-251.145436745705
-0,-242.021107173345,-251.145436745705
-0,-242.021188888207,-251.145436745705
-0,-242.021273281821,-251.145436745705
-0,-242.021360508945,-251.145436745705
-0,-242.02145044519,-251.145436745705
-0,-242.021543109068,-251.145436745705
-0,-242.021638733205,-251.145436745705
-0,-242.02173692349,-251.145436745705
-0,-242.021837810143,-251.145436745705
-0,-242.021941676349,-251.145436745705
-0,-242.022048164678,-251.145436745705
-0,-242.022157510344,-251.145436745705
-0,-242.022269599115,-251.145436745705
-0,-242.02238443173,-251.145436745705
-0,-242.022502060581,-251.145436745705
-0,-242.022622424298,-251.145436745705
-0,-242.02274558028,-251.145436745705
-0,-242.022871655284,-251.145436745705
-0,-242.023000193793,-251.145436745705
-0,-242.023131626191,-251.145436745705
-0,-242.023265910373,-251.145436745705
